customer_id,country,industry,company_size,annual_revenue,gross_margin,gross_profit,annual_gross_profit,number_of_orders,invoice_count,avg_invoice_value,revenue_per_order,product_count,product_category,payment_delay_days,payment_delay_category,overdue_amount,overdue_ratio,credit_limit,current_exposure,exposure_utilization,order_frequency,relationship_length_months,relationship_years,default_flag,risk_score,risk_category,risk_band,default_probability_proxy,exposure_at_risk,payment_behavior_score,profitability_score,commercial_value_score,segment_id,segment_name,segment_description,segment_priority,main_risk_driver,commercial_action
CUST001,Netherlands,FMCG,SME,935320.78,0.0976,91287.308128,91287.308128,23,23,40666.12,38971.699166666665,2,Components,0.3,On Time,56952.78,0.0608911736141894,751744.38,293743.87,0.3907496721154194,1.5333333333333334,14,1.1666666666666667,0,2.441962066477687,Low Risk,Band 1 (Low),0.12209810332388435,350696.65,9.9,10.0,9.8412078,5,High-Risk Low-Margin Customers,Limited profitability combined with elevated risk,RESTRICT,Low margin and payment inconsistency,"Pricing review, reduce exposure, or exit"
CUST002,Germany,Electronics,Mid-Market,868488.6,0.2276,197668.00536,197668.00536,17,17,51087.56,48249.36666666667,1,Components,3.4,On Time,57503.06,0.0662104948757344,637686.86,546317.43,0.8567174020163177,0.2982456140350877,56,4.666666666666667,0,1.889785429705177,Low Risk,Band 1 (Low),0.09448927148525885,603820.49,8.866666666666667,10.0,9.822885999999999,4,Late-Paying Watchlist,Acceptable revenue but concerning payment delays,MONITOR,Payment delay and working capital issues,"Credit tightening, enhanced collection procedures"
CUST003,Germany,Logistics,Enterprise,730068.21,0.1389,101406.474369,101406.474369,18,18,40559.34,38424.64263157894,3,Machinery,15.9,Delayed,43498.17,0.0595809670988693,646387.34,301454.42,0.4663680758344271,0.8571428571428571,20,1.6666666666666667,0,2.5364672217931425,Medium Risk,Band 2 (Medium),0.12682336108965714,344952.58999999997,4.7,8.689682099999999,7.995182099999999,4,Late-Paying Watchlist,Acceptable revenue but concerning payment delays,MONITOR,Payment delay and working capital issues,"Credit tightening, enhanced collection procedures"
CUST004,France,Retail,Mid-Market,818094.71,0.1096,89663.180216,89663.180216,14,14,58435.34,54539.647333333334,5,Machinery,16.9,Delayed,54469.39,0.0665807874493326,664410.68,363020.68,0.5463799588523375,0.3043478260869565,45,3.75,0,2.943739550632669,Medium Risk,Band 2 (Medium),0.14718697753163346,417490.07,4.366666666666667,9.2769471,8.728947100000001,5,High-Risk Low-Margin Customers,Limited profitability combined with elevated risk,RESTRICT,Low margin and payment inconsistency,"Pricing review, reduce exposure, or exit"
CUST005,Netherlands,Retail,Mid-Market,1040095.8,0.1641,170679.72078,170679.72078,22,22,47277.08,45221.556521739134,3,Chemicals,9.1,Moderate Delay,38185.31,0.0367132623744498,734238.51,332725.08,0.4531566724817346,0.3098591549295774,70,5.833333333333333,0,1.3687694439590676,Low Risk,Band 1 (Low),0.06843847219795338,370910.39,6.966666666666667,10.0,10.0,3,Growth Potential Customers,Above-average revenue with moderate risk profile,DEVELOP,Payment behavior volatility,"Expansion opportunities, credit line review"
CUST006,Spain,Chemicals,SME,378796.46,0.1399,52993.624754,52993.624754,20,20,18939.82,18037.926666666663,1,Software,19.1,Delayed,933.89,0.0024654137475242,244900.56,135341.07,0.5526368334945717,0.3508771929824561,56,4.666666666666667,0,2.046246976969337,Low Risk,Band 1 (Low),0.10231234884846685,136274.96000000002,3.633333333333333,5.1869646,4.4874646,3,Growth Potential Customers,Above-average revenue with moderate risk profile,DEVELOP,Payment behavior volatility,"Expansion opportunities, credit line review"
CUST007,Italy,Automotive,SME,592553.36,0.1898,112466.627728,112466.627728,15,15,39503.56,37034.585,1,Machinery,13.4,Moderate Delay,31491.3,0.0531450872204097,375011.67,389313.6,1.0381372931646684,0.2631578947368421,56,4.666666666666667,0,2.6089352840926145,Medium Risk,Band 2 (Medium),0.13044676420463072,420804.89999999997,5.533333333333333,7.823533599999999,6.8745336,4,Late-Paying Watchlist,Acceptable revenue but concerning payment delays,MONITOR,Payment delay and working capital issues,"Credit tightening, enhanced collection procedures"
CUST008,Austria,FMCG,Enterprise,515164.9,0.1892,97469.19908,97469.19908,13,13,39628.07,36797.49285714286,5,Machinery,16.0,Delayed,18387.52,0.03569249380143,320154.15,206455.45,0.6448626388236889,0.65,19,1.5833333333333333,0,2.0852652280588178,Low Risk,Band 1 (Low),0.10426326140294088,224842.97,4.666666666666667,7.043649,6.0976490000000005,3,Growth Potential Customers,Above-average revenue with moderate risk profile,DEVELOP,Payment behavior volatility,"Expansion opportunities, credit line review"
CUST009,Germany,Automotive,Mid-Market,479644.11,0.1002,48060.339821999994,48060.339821999994,25,25,19185.76,18447.850384615384,3,Components,23.7,Delayed,29881.86,0.062300066605504,370573.32,227677.83,0.6143934754919366,0.8064516129032258,30,2.5,0,3.514687483827905,Medium Risk,Band 2 (Medium),0.17573437419139526,257559.69,2.1000000000000005,5.7984411,5.2974411,5,High-Risk Low-Margin Customers,Limited profitability combined with elevated risk,RESTRICT,Low margin and payment inconsistency,"Pricing review, reduce exposure, or exit"
CUST010,Germany,Retail,SME,1085286.28,0.0564,61210.146192,61210.146192,15,15,72352.42,67830.3925,3,Packaging,0.0,On Time,65856.87,0.0606815650520702,839749.3,505793.89,0.6023153457816489,0.6521739130434783,22,1.8333333333333333,0,3.3017498786465262,Medium Risk,Band 2 (Medium),0.1650874939323263,571650.76,10.0,10.0,10.0,5,High-Risk Low-Margin Customers,Limited profitability combined with elevated risk,RESTRICT,Low margin and payment inconsistency,"Pricing review, reduce exposure, or exit"
